country,date,GDP,"Inflation, GDP deflator (annual %)","Foreign direct investment, net inflows (% of GDP)",Agricultural land,Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Deposit money banks'' assets to GDP (%)
United Kingdom,2018,2900791442554.06,1.99903489165381,2.79781953947515,71.7185202331253,30.5063972258759,31.8078256790441,134.3656
United Kingdom,2017,2699016715111.39,1.81876640825315,4.64461035873752,72.1950667548465,30.0456859641903,31.3090714367118,133.8217
United Kingdom,2016,2722851958486.23,1.90110663436174,11.9291547673272,71.7148836440293,28.2207813201973,29.8585070796048,131.957
United Kingdom,2015,2956573778737.76,0.511374817313225,1.53331141093472,70.8386723432398,27.1847735545253,28.7314774815369,130.6057
United Kingdom,2014,3087165602962.86,1.59036810676083,1.90758944697346,71.2272144835283,28.1098327329943,29.8740194077057,135.4716
United Kingdom,2013,2803291406029.93,2.23880054182746,1.94318633029263,71.3024428553714,29.7738901545042,31.0808045037936,149.6237
United Kingdom,2012,2719158341005.79,1.611883545944,1.71931104646277,71.020543132311,29.9368811198155,31.1687014009312,160.8148
United Kingdom,2011,2674891473843.81,2.06733293431685,1.00983723401417,70.9461414458728,30.713820650263,31.7181878025216,170.5374
United Kingdom,2010,2491110093454.18,1.37620731822221,2.67890814899942,71.1941470673335,28.1899522080145,30.0642292030431,184.6566
United Kingdom,2009,2425798410967.44,1.7162190592525,0.599683319904964,71.6116231967925,26.3502491779696,27.8243166872174,192.0059
United Kingdom,2008,2938882352941.18,3.2285597654007,8.62416685899897,73.0955234985326,27.0796221052421,29.1416680010408,190.6736
United Kingdom,2007,3106182472989.2,2.79651575648585,6.74509503124213,72.9425866986318,25.3409083589377,27.3830734249293,169.84
United Kingdom,2006,2717059797608.1,2.84835797682179,7.4947350090532,73.7320712602819,27.2741247167713,29.3334154972974,153.4085
United Kingdom,2005,2544829090909.09,3.13589713358328,9.92810865180166,70.0863886248088,25.0572997936636,27.4053053035889,143.2026
United Kingdom,2004,2421814353716.59,2.57005899447064,3.59480986842281,70.4790641921217,23.8236461432044,26.366897365049,137.2034
United Kingdom,2003,2057093877551.02,2.73712314364111,1.75058809254275,70.0863886248088,23.9296173718422,26.1557021198917,129.3308
United Kingdom,2002,1784076738609.11,2.06344099575955,5.03120638315154,70.1690571652957,24.294316898758,26.9247506586376,124.5657
United Kingdom,2001,1643908161796.46,1.85101763216447,3.41204734621536,70.0739883437358,25.2899459993363,27.3828110291999,120.1488
United Kingdom,2000,1662127402027.54,1.69083726232446,9.87471449203649,70.1194560410036,25.250523441056,26.901775147929,114.4502
United Kingdom,1999,1685762821549.91,1.34230672494529,7.70521112637008,71.1734799322118,23.9412842980124,25.3698283059973,105.2542
United Kingdom,1998,1653391851606.49,1.59660648076544,6.64195923917191,72.4093746124912,24.1107542887136,24.8793470617579,101.9577
United Kingdom,1997,1559569417157.83,-0.349045437466671,3.29012840462927,72.6863142231224,25.4997716739189,25.1841043056525,102.2366
United Kingdom,1996,1421514820592.82,4.26134610692728,2.28014990527745,72.3101723639069,26.0497524668264,25.830479010438,100.5099
United Kingdom,1995,1346422597443.59,11.6700094542817,2.16345581960249,71.8348282561071,25.4732615432217,25.1584570595433,97.52452
United Kingdom,1994,1140489745944.29,1.39362357967943,1.71516994974046,71.9588310668375,25.7998667464667,25.7828904073559,100.0309
United Kingdom,1993,1061388722255.55,2.73304425884132,1.85476418901582,72.4755094448807,24.5672074536478,24.8917980484193,99.87622
United Kingdom,1992,1179659529659.53,3.32097924869252,1.95066544669245,74.6910263299301,22.6791482809408,23.3594580240118,101.678
United Kingdom,1991,1142797178130.51,6.41908648514389,2.03397301702108,74.9927665027074,22.3546710784208,22.6977954090184,102.3338
United Kingdom,1990,1093169389204.55,7.88621804738521,3.78380567982468,75.2407721241681,23.0809272129848,24.8957193185344,104.806
United Kingdom,1989,926884816753.927,7.93586228546617,2.92466121996993,75.6665151076758,22.3996406077894,26.0104386138334,102.93
United Kingdom,1988,910122732123.799,6.13317320683642,2.90410516796534,76.1501260695242,21.9341244666983,25.1651101977638,91.57545
United Kingdom,1987,745162608269.325,5.4405490747903,1.75464033712155,74.8811639730501,24.3558426633623,25.2517634028928,82.77105
United Kingdom,1986,601452653180.885,4.33535606610785,1.42482066983063,74.9390319513909,24.8371111181518,25.3981116762651,77.61064
United Kingdom,1985,489285164271.047,5.51169788469916,1.11928039047476,75.096102178316,27.886271511419,26.737839376159,43.90625
United Kingdom,1984,461487097632.349,5.03004749604274,-0.0752615937834715,75.2366386971438,27.5337986314873,27.5507240319819,42.23568
United Kingdom,1983,489618008185.539,5.12280957507546,1.05771880105628,75.2945066754846,25.7558648425237,24.7555843480361,37.07233
United Kingdom,1982,515048916841.37,7.41877486404204,1.05101856977298,75.5631794320671,25.6264929752318,23.6876284708325,34.04859
United Kingdom,1981,540765675241.158,11.5692628194882,1.08723167304469,75.7243830860166,25.973624319453,23.114806102161,30.86014
United Kingdom,1980,564947710899.373,19.7037946351815,1.79181968888777,76.3402637126441,26.6093777381045,24.3901985627136,26.21587
United Kingdom,1979,438994070309.191,14.0665414144871,1.47370581928106,76.2699954532303,27.3714481434491,26.9678657745317,25.86194
United Kingdom,1978,335883029721.956,11.4575469497378,1.12758624698224,76.3774645558633,28.004789824335,26.6523238355132,25.59901
United Kingdom,1977,263066457352.172,13.7104941744667,1.68267205120844,76.4270656801554,29.6620942075111,28.9211191120306,26.08476
United Kingdom,1976,232614555256.065,15.1135672458945,1.29235580557936,76.7494729880544,28.0034051757435,29.0871355735805,27.36192
United Kingdom,1975,241756637168.142,25.7707279916172,1.37267618730267,76.8114743934196,25.3940562256346,27.064252246646,28.31415
United Kingdom,1974,206131369798.971,15.0592125800563,2.12182327411176,77.0388128797586,26.8125727180976,31.6085039066487,35.19953
United Kingdom,1973,192537971582.558,8.41487857295569,1.41412745627602,77.2785516471707,22.44065577525,24.7402435300405,33.5649
United Kingdom,1972,169965034965.035,7.18825178365192,0.710712760088409,77.5265572686314,20.6282011343933,20.7131395656391,28.55086
United Kingdom,1971,148113896325.14,7.98562450396294,1.19585291667596,77.8861654197495,21.8832780151167,20.5109792967466,20.75255
United Kingdom,1970,130671946244.3,5.53973503072942,1.13872859052871,77.9109659818956,21.8005674826909,20.9482378652366,19.81598
